Record #,Wrinkles,Scars,Shell Segments,Color,Fangs for some reason,Nostril Size,Miscellaneous Abnormalities,Weight
7781,5,4,9,grayish-green,no,normal,0,19.1lb
7782,1,5,8,grayish-green,no,normal,6,27.5lb
7783,4,4,10,green,no,normal,4,24.9lb
7784,2,1,7,green,no,normal,0,15.6lb
7785,0,1,6,green,no,normal,0,20.4lb
7786,3,3,9,green,no,unusually small,0,16.6lb
7787,2,3,12,green,no,normal,4,18.2lb
7788,0,5,6,green,no,normal,0,20.4lb
7789,3,2,10,green,no,normal,0,19.4lb
7790,0,4,6,green,no,normal,0,20.4lb
7791,6,3,12,grayish-green,no,normal,0,26.2lb
7792,7,7,12,gray,yes,unusually small,0,5.3lb
7793,3,3,11,grayish-green,no,unusually small,5,29.2lb
7794,2,3,12,grayish-green,no,normal,3,23.1lb
7795,5,4,12,greenish-gray,no,unusually large,5,28.1lb
7796,3,6,11,grayish-green,no,normal,0,21.8lb
7797,1,4,8,green,no,normal,4,19.5lb
7798,4,4,11,grayish-green,no,normal,1,23.3lb
7799,1,1,11,gray,yes,unusually small,0,5.5lb
7800,0,4,6,green,no,normal,0,20.4lb
7801,4,2,8,grayish-green,no,normal,0,19.8lb
7802,1,3,8,gray,yes,normal,0,3.9lb
7803,4,6,11,grayish-green,no,normal,0,21.4lb
7804,7,2,9,grayish-green,no,normal,4,25.2lb
7805,2,1,10,grayish-green,no,unusually large,2,20.3lb
7806,0,2,6,green,no,normal,0,20.4lb
7807,4,2,9,green,no,normal,0,19.4lb
7808,4,3,11,grayish-green,no,normal,2,26.7lb
7809,8,3,9,greenish-gray,no,normal,2,22.2lb
7810,0,1,11,green,no,unusually small,0,17.4lb
7811,1,1,11,gray,yes,normal,1,5.6lb
7812,9,3,12,grayish-green,no,normal,1,25.0lb
7813,2,2,11,grayish-green,no,unusually large,0,20.2lb
7814,2,2,11,green,no,normal,0,18.8lb
7815,2,1,11,green,no,normal,7,30.8lb
7816,1,2,14,grayish-green,no,normal,0,20.4lb
7817,2,2,9,green,no,normal,2,18.5lb
7818,0,4,6,green,no,normal,0,20.4lb
7819,4,3,11,green,no,normal,0,20.7lb
7820,0,5,6,green,no,normal,0,20.4lb
7821,4,3,12,grayish-green,no,normal,1,24.5lb
7822,2,2,9,green,no,normal,0,16.9lb
7823,4,2,10,grayish-green,no,normal,0,20.0lb
7824,0,1,10,gray,yes,normal,2,5.3lb
7825,1,2,9,green,no,unusually small,3,18.8lb
7826,2,1,9,green,no,normal,0,17.1lb
7827,0,4,6,green,no,normal,0,20.4lb
7828,5,2,12,green,no,normal,0,15.8lb
7829,1,2,12,grayish-green,no,normal,0,21.1lb
7830,6,2,13,grayish-green,no,normal,6,29.0lb
7831,3,4,10,grayish-green,no,normal,1,20.0lb
7832,0,5,9,green,no,unusually large,2,18.2lb
7833,0,3,6,green,no,normal,0,20.4lb
7834,3,2,9,green,no,unusually small,1,16.8lb
7835,0,3,8,green,no,unusually large,0,16.2lb
7836,2,2,12,gray,yes,normal,0,5.4lb
7837,7,1,10,green,no,unusually large,0,18.4lb
7838,3,5,12,grayish-green,no,unusually large,0,22.2lb
7839,1,2,11,green,no,unusually large,1,20.2lb
7840,4,2,14,grayish-green,no,normal,0,22.9lb
7841,4,2,9,gray,yes,normal,0,4.9lb
7842,0,1,10,green,no,normal,1,20.0lb
7843,0,1,6,green,no,normal,0,20.4lb
7844,2,2,10,grayish-green,no,normal,0,18.9lb
7845,1,2,8,green,no,normal,3,16.6lb
7846,3,2,10,green,no,normal,1,18.3lb
7847,4,3,13,grayish-green,no,unusually large,1,28.3lb
7848,0,6,6,green,no,normal,0,20.4lb
7849,1,6,8,grayish-green,no,unusually small,4,24.1lb
7850,5,4,10,grayish-green,no,unusually large,0,21.4lb
7851,0,3,6,green,no,normal,0,20.4lb
7852,1,1,9,grayish-green,no,normal,4,20.2lb
7853,3,0,11,green,no,normal,4,17.2lb
7854,4,0,8,grayish-green,no,normal,6,28.3lb
7855,3,3,9,gray,yes,unusually small,2,4.5lb
7856,8,3,8,grayish-green,no,normal,5,24.8lb
7857,4,2,11,green,no,normal,0,17.0lb
7858,1,0,9,green,no,normal,0,17.6lb
7859,0,2,6,green,no,normal,0,20.4lb
7860,3,3,8,grayish-green,no,normal,1,18.2lb
7861,4,2,10,grayish-green,no,normal,0,22.5lb
7862,0,2,13,green,no,normal,4,23.4lb
7863,1,2,10,green,no,normal,2,20.1lb
7864,5,3,12,green,no,normal,4,22.6lb
7865,0,1,6,green,no,normal,0,20.4lb
7866,1,1,10,grayish-green,no,normal,0,18.7lb
7867,8,4,10,green,no,unusually large,0,21.4lb
7868,6,6,12,grayish-green,no,normal,1,22.9lb
7869,5,6,11,grayish-green,no,normal,0,22.6lb
7870,1,1,11,green,no,normal,1,18.3lb
7871,6,5,13,gray,yes,normal,5,6.0lb
7872,2,5,13,green,no,normal,0,18.8lb
7873,3,1,9,green,no,normal,1,19.6lb
7874,0,6,6,green,no,normal,0,20.4lb
7875,1,0,10,grayish-green,no,normal,0,19.0lb
7876,4,2,10,grayish-green,no,normal,1,22.0lb
7877,0,5,13,green,no,normal,1,18.9lb
7878,0,2,6,green,no,normal,0,20.4lb
7879,7,3,10,greenish-gray,no,unusually large,2,25.7lb
7880,2,2,12,green,no,normal,3,21.8lb
7881,2,6,9,green,no,unusually small,0,17.6lb
7882,2,4,8,green,no,normal,1,19.4lb
7883,3,1,8,gray,yes,normal,1,4.6lb
7884,1,4,8,green,no,normal,1,16.8lb
7885,3,4,12,green,no,normal,1,20.4lb
7886,0,5,6,green,no,normal,0,20.4lb
7887,0,2,6,green,no,normal,0,20.4lb
7888,4,0,8,gray,yes,unusually small,1,3.9lb
7889,4,3,10,green,no,normal,1,20.9lb
7890,0,3,6,green,no,normal,0,20.4lb
7891,5,2,11,greenish-gray,no,normal,1,23.3lb
7892,0,4,6,green,no,normal,0,20.4lb
7893,1,2,9,green,no,normal,3,22.2lb
7894,5,3,13,gray,yes,normal,0,5.2lb
7895,3,2,10,green,no,normal,0,20.5lb
7896,4,1,10,green,no,unusually large,0,20.1lb
7897,4,6,12,green,no,normal,0,19.3lb
7898,5,2,9,gray,yes,normal,1,4.8lb
7899,2,2,11,green,no,unusually small,0,18.5lb
7900,2,2,10,green,no,normal,0,18.3lb
7901,2,2,9,green,no,normal,1,16.9lb
7902,2,0,8,gray,yes,normal,0,3.8lb
7903,7,3,9,green,no,normal,1,18.3lb
7904,3,2,11,green,no,normal,1,17.1lb
7905,6,3,10,grayish-green,no,unusually large,0,21.1lb
7906,0,2,6,green,no,normal,0,20.4lb
7907,4,3,11,gray,yes,normal,0,5.3lb
7908,0,1,8,green,no,normal,4,16.8lb
7909,0,5,10,green,no,normal,0,18.4lb
7910,2,1,10,green,no,normal,0,18.4lb
7911,7,4,10,gray,yes,normal,1,5.2lb
7912,0,5,6,green,no,normal,0,20.4lb
7913,0,1,6,green,no,normal,0,20.4lb
7914,2,5,10,green,no,normal,0,18.9lb
7915,0,1,11,green,no,normal,3,19.5lb
7916,2,4,10,grayish-green,no,normal,0,17.6lb
7917,9,2,11,gray,yes,normal,3,5.3lb
7918,0,2,11,gray,yes,normal,1,5.8lb
7919,2,3,11,green,no,unusually small,1,16.9lb
7920,1,5,8,green,no,normal,0,17.3lb
7921,0,4,6,green,no,normal,0,20.4lb
7922,3,2,11,grayish-green,no,normal,3,19.3lb
7923,2,3,9,green,no,normal,2,17.7lb
7924,4,1,10,green,no,normal,0,15.6lb
7925,0,3,6,green,no,normal,0,20.4lb
7926,0,1,10,gray,yes,normal,0,4.7lb
7927,4,0,9,grayish-green,no,normal,0,18.3lb
7928,0,2,6,green,no,normal,0,20.4lb
7929,0,2,9,green,no,normal,5,20.9lb
7930,2,5,11,green,no,unusually small,1,22.1lb
7931,3,5,9,green,no,normal,2,21.3lb
7932,1,1,10,gray,yes,unusually large,1,4.5lb
7933,3,1,11,grayish-green,no,unusually large,0,16.5lb
7934,3,2,9,green,no,normal,1,19.6lb
7935,2,1,11,green,no,normal,0,17.8lb
7936,3,6,8,grayish-green,no,normal,1,19.2lb
7937,0,2,10,gray,yes,normal,1,5.6lb
7938,4,1,8,green,no,unusually large,0,16.8lb
7939,0,5,6,green,no,normal,0,20.4lb
7940,0,2,11,green,no,normal,1,19.0lb
7941,5,4,8,green,no,normal,0,19.5lb
7942,3,1,9,green,no,normal,1,19.5lb
7943,1,1,11,green,no,normal,4,21.6lb
7944,5,3,10,grayish-green,no,unusually large,1,23.4lb
7945,0,5,6,green,no,normal,0,20.4lb
7946,8,2,8,gray,yes,normal,7,4.1lb
7947,4,2,10,grayish-green,no,normal,0,19.9lb
7948,4,4,11,green,no,normal,4,26.5lb
7949,2,1,7,green,no,normal,1,16.3lb
7950,3,0,8,green,no,normal,0,15.4lb
7951,6,3,8,grayish-green,no,normal,5,27.4lb
7952,8,5,13,gray,yes,normal,3,6.4lb
7953,8,5,14,grayish-green,no,normal,1,26.3lb
7954,6,4,11,grayish-green,no,normal,0,19.6lb
7955,3,1,11,green,no,normal,2,20.3lb
7956,2,1,10,green,no,normal,0,17.2lb
7957,3,1,10,green,no,normal,0,16.0lb
7958,0,4,6,green,no,normal,0,20.4lb
7959,2,5,10,green,no,normal,0,17.2lb
7960,2,2,11,green,no,unusually small,0,16.8lb
7961,0,4,7,green,no,normal,0,15.8lb
7962,4,3,10,green,no,unusually large,2,16.9lb
7963,3,2,9,green,no,normal,1,20.2lb
7964,2,2,10,gray,yes,normal,2,4.3lb
7965,0,4,6,green,no,normal,0,20.4lb
7966,4,0,10,green,no,normal,1,21.3lb
7967,2,2,8,grayish-green,no,normal,2,17.9lb
7968,0,1,6,green,no,normal,0,20.4lb
7969,1,2,9,green,no,normal,0,15.3lb
7970,1,2,12,green,no,normal,5,27.2lb
7971,1,2,12,grayish-green,no,normal,3,19.4lb
7972,3,7,11,grayish-green,no,normal,3,21.0lb
7973,2,2,8,green,no,normal,0,14.9lb
7974,2,0,12,grayish-green,no,normal,3,20.1lb
7975,0,5,6,green,no,normal,0,20.4lb
7976,1,3,10,green,no,normal,2,17.1lb
7977,0,3,6,green,no,normal,0,20.4lb
7978,3,0,7,green,no,normal,1,17.5lb
7979,1,2,7,gray,yes,normal,0,3.4lb
7980,0,6,6,green,no,normal,0,20.4lb
7981,3,5,11,green,no,normal,0,22.7lb
7982,2,1,9,grayish-green,no,normal,3,21.7lb
7983,2,2,11,green,no,unusually large,0,18.3lb
7984,0,1,10,green,no,normal,2,16.6lb
7985,1,1,10,green,no,normal,1,19.6lb
7986,2,2,10,grayish-green,no,normal,3,21.8lb
7987,2,1,10,green,no,normal,0,18.2lb
7988,3,1,8,gray,yes,normal,0,4.1lb
7989,4,2,10,grayish-green,no,normal,1,22.2lb
7990,3,4,10,green,no,normal,0,17.9lb
7991,0,2,6,green,no,normal,0,20.4lb
7992,3,7,9,gray,yes,normal,0,5.1lb
7993,6,5,9,green,no,normal,2,18.5lb
7994,1,5,8,green,no,unusually large,0,14.5lb
7995,3,4,11,green,no,normal,1,17.3lb
7996,4,2,9,grayish-green,no,normal,2,22.9lb
7997,5,3,8,green,no,unusually large,5,26.3lb
7998,1,3,10,green,no,normal,0,16.9lb
7999,4,1,14,grayish-green,no,unusually small,4,21.2lb
8000,0,4,6,green,no,normal,0,20.4lb
8001,2,5,10,green,no,normal,3,17.4lb
8002,0,3,6,green,no,normal,0,20.4lb
8003,5,4,8,grayish-green,no,normal,1,21.8lb
8004,0,3,6,green,no,normal,0,20.4lb
8005,0,1,6,green,no,normal,0,20.4lb
8006,3,0,10,green,no,unusually small,2,20.3lb
8007,0,2,6,green,no,normal,0,20.4lb
8008,0,1,6,green,no,normal,0,20.4lb
8009,0,1,9,green,no,normal,0,17.2lb
8010,0,2,6,green,no,normal,0,20.4lb
8011,3,1,7,green,no,normal,3,19.2lb
8012,5,6,11,grayish-green,no,normal,0,22.2lb
8013,6,3,9,gray,yes,normal,0,4.8lb
8014,1,2,11,gray,yes,normal,0,5.6lb
8015,3,4,8,green,no,normal,1,18.8lb
8016,1,3,10,green,no,unusually small,0,16.1lb
8017,1,4,10,green,no,normal,0,16.3lb
8018,0,2,6,green,no,normal,0,20.4lb
8019,1,2,10,green,no,normal,2,19.8lb
8020,5,1,13,green,no,normal,4,25.0lb
8021,6,1,12,grayish-green,no,normal,0,22.6lb
8022,3,0,12,grayish-green,no,normal,2,20.1lb
8023,3,1,9,green,no,normal,0,17.4lb
8024,0,6,9,green,no,normal,6,22.5lb
8025,3,2,11,gray,yes,normal,0,5.1lb
8026,3,1,13,green,no,normal,2,21.0lb
8027,7,4,11,gray,yes,normal,5,5.6lb
8028,2,2,12,grayish-green,no,normal,0,20.9lb
8029,4,1,10,green,no,normal,3,23.3lb
8030,4,6,10,green,no,normal,4,21.8lb
8031,4,4,11,green,no,normal,1,21.2lb
8032,5,4,11,gray,yes,unusually large,2,5.5lb
8033,0,2,6,green,no,normal,0,20.4lb
8034,4,1,11,green,no,normal,6,20.4lb
8035,2,2,10,green,no,normal,0,17.0lb
8036,3,2,10,gray,yes,normal,2,5.0lb
8037,4,2,14,grayish-green,no,normal,0,21.7lb
8038,4,2,9,gray,yes,normal,0,4.6lb
8039,5,9,8,green,no,normal,2,22.4lb
8040,0,1,6,green,no,normal,0,20.4lb
8041,4,6,11,green,no,normal,0,20.4lb
8042,5,2,12,green,no,normal,0,20.1lb
8043,4,1,11,grayish-green,no,unusually large,0,22.0lb
8044,3,2,7,green,no,normal,0,15.0lb
8045,1,2,8,green,no,normal,6,24.0lb
8046,4,3,10,gray,yes,normal,4,4.7lb
8047,0,2,6,green,no,normal,0,20.4lb
8048,2,2,11,green,no,unusually large,0,19.3lb
8049,0,3,6,green,no,normal,0,20.4lb
8050,7,5,13,grayish-green,no,normal,4,27.7lb
8051,0,3,6,green,no,normal,0,20.4lb
8052,3,2,10,grayish-green,no,normal,0,19.3lb
8053,4,3,9,green,no,normal,1,20.7lb
8054,4,4,11,grayish-green,no,normal,4,21.3lb
8055,1,3,10,green,no,normal,4,21.1lb
8056,5,2,11,grayish-green,no,unusually large,0,20.4lb
8057,1,0,8,green,no,unusually large,0,16.3lb
8058,12,4,13,grayish-green,no,normal,1,30.6lb
8059,1,4,11,green,no,normal,1,18.8lb
8060,3,3,11,green,no,normal,1,18.1lb
8061,0,3,6,green,no,normal,0,20.4lb
8062,1,2,11,green,no,unusually large,1,23.7lb
8063,3,4,10,green,no,normal,0,18.0lb
8064,0,4,6,green,no,normal,0,20.4lb
8065,0,3,9,green,no,normal,5,19.2lb
8066,6,4,10,grayish-green,no,normal,4,28.3lb
8067,3,3,10,grayish-green,no,normal,6,21.0lb
8068,2,1,9,green,no,unusually large,0,18.3lb
8069,3,3,8,green,no,normal,1,17.8lb
8070,5,4,13,grayish-green,no,normal,5,25.9lb
8071,4,5,8,green,no,normal,4,21.6lb
8072,1,1,9,green,no,normal,1,17.0lb
8073,3,4,10,green,no,normal,4,24.1lb
8074,2,3,11,gray,yes,normal,0,5.6lb
8075,4,1,7,gray,yes,normal,3,3.8lb
8076,4,2,11,grayish-green,no,normal,0,20.9lb
8077,2,6,9,grayish-green,no,normal,5,26.8lb
8078,3,3,9,green,no,unusually large,1,19.8lb
8079,2,3,11,green,no,normal,0,16.6lb
8080,5,2,10,green,no,normal,1,17.8lb
8081,4,3,13,grayish-green,no,normal,0,22.4lb
8082,0,2,6,green,no,normal,0,20.4lb
8083,2,4,11,green,no,normal,0,18.8lb
8084,4,5,10,grayish-green,no,normal,6,22.5lb
8085,0,6,6,green,no,normal,0,20.4lb
8086,3,5,11,gray,yes,normal,1,5.4lb
8087,3,4,12,green,no,normal,0,21.5lb
8088,0,2,6,green,no,normal,0,20.4lb
8089,0,2,6,green,no,normal,0,20.4lb
8090,3,2,9,green,no,normal,0,15.2lb
8091,2,0,10,green,no,normal,0,21.2lb
8092,3,5,11,green,no,normal,0,20.1lb
8093,3,5,10,grayish-green,no,normal,4,24.0lb
8094,0,5,6,green,no,normal,0,20.4lb
8095,2,2,10,gray,yes,normal,1,5.0lb
8096,4,4,10,grayish-green,no,normal,1,21.6lb
8097,3,0,9,gray,yes,normal,0,4.5lb
8098,0,1,6,green,no,normal,0,20.4lb
8099,2,4,10,grayish-green,no,unusually large,1,24.3lb
8100,0,3,6,green,no,normal,0,20.4lb
8101,0,3,6,green,no,normal,0,20.4lb
8102,0,4,6,green,no,normal,0,20.4lb
8103,7,4,12,greenish-gray,no,normal,1,28.9lb
8104,0,4,6,green,no,normal,0,20.4lb
8105,3,4,11,gray,yes,normal,4,5.6lb
8106,1,3,8,gray,yes,normal,2,3.7lb
8107,1,0,8,green,no,normal,2,19.0lb
8108,0,3,6,green,no,normal,0,20.4lb
8109,0,6,6,green,no,normal,0,20.4lb
8110,1,3,9,green,no,normal,2,20.1lb
8111,0,1,6,green,no,normal,0,20.4lb
8112,0,3,6,green,no,normal,0,20.4lb
8113,4,2,10,grayish-green,no,normal,3,22.4lb
8114,1,1,9,green,no,normal,2,21.6lb
8115,0,6,6,green,no,normal,0,20.4lb
8116,12,7,12,greenish-gray,no,normal,1,29.3lb
8117,5,4,12,grayish-green,no,normal,0,18.8lb
8118,1,1,10,grayish-green,no,normal,2,20.9lb
8119,1,2,8,grayish-green,no,normal,0,20.4lb
8120,1,0,10,grayish-green,no,normal,0,18.0lb
8121,5,5,10,grayish-green,no,unusually large,0,19.5lb
8122,2,3,9,green,no,normal,1,17.8lb
8123,4,3,11,grayish-green,no,normal,1,23.7lb
8124,1,3,10,green,no,normal,2,20.9lb
8125,3,0,10,green,no,normal,1,18.3lb
8126,3,1,11,green,no,unusually large,0,19.3lb
8127,6,3,12,grayish-green,no,normal,0,25.9lb
8128,5,7,9,green,no,normal,0,18.3lb
8129,3,3,12,green,no,normal,5,20.8lb
8130,1,2,9,green,no,normal,0,19.6lb
8131,2,4,8,green,no,normal,0,15.4lb
8132,0,4,6,green,no,normal,0,20.4lb
8133,4,2,10,grayish-green,no,normal,8,25.8lb
8134,3,5,9,green,no,normal,1,18.9lb
8135,6,2,8,green,no,unusually small,0,18.6lb
8136,3,2,11,green,no,normal,0,16.2lb
8137,5,4,9,gray,yes,normal,0,3.8lb
8138,6,3,12,green,no,normal,3,25.0lb
8139,6,2,14,greenish-gray,no,normal,0,26.8lb
8140,0,3,6,green,no,normal,0,20.4lb
8141,5,3,9,green,no,normal,0,20.2lb
8142,3,2,9,green,no,normal,2,21.8lb
8143,8,3,12,grayish-green,no,normal,2,22.2lb
8144,2,2,10,gray,yes,normal,8,5.2lb
8145,0,2,11,green,no,normal,1,17.6lb
8146,2,4,8,green,no,normal,2,17.8lb
8147,0,1,11,green,no,normal,0,18.0lb
8148,0,2,6,green,no,normal,0,20.4lb
8149,0,1,6,green,no,normal,0,20.4lb
8150,1,2,10,green,no,unusually small,0,17.6lb
8151,0,1,6,green,no,normal,0,20.4lb
8152,0,2,6,green,no,normal,0,20.4lb
8153,3,3,11,grayish-green,no,unusually large,0,19.5lb
8154,0,2,6,green,no,normal,0,20.4lb
8155,2,4,11,green,no,unusually large,2,18.8lb
8156,6,5,10,grayish-green,no,normal,0,20.4lb
8157,0,3,11,grayish-green,no,unusually large,0,18.1lb
8158,0,5,6,green,no,normal,0,20.4lb
8159,6,5,9,grayish-green,no,normal,0,22.2lb
8160,2,2,10,green,no,unusually large,0,17.7lb
8161,0,2,6,green,no,normal,0,20.4lb
8162,4,2,10,grayish-green,no,normal,1,17.2lb
8163,0,2,6,green,no,normal,0,20.4lb
8164,2,2,9,grayish-green,no,normal,0,18.7lb
8165,0,6,6,green,no,normal,0,20.4lb
8166,0,6,6,green,no,normal,0,20.4lb
8167,2,5,9,gray,yes,normal,1,4.4lb
8168,4,3,10,grayish-green,no,unusually small,0,20.4lb
8169,7,0,8,gray,yes,normal,1,4.5lb
8170,1,1,11,green,no,normal,6,26.9lb
8171,4,1,11,grayish-green,no,unusually large,2,24.1lb
8172,8,1,10,green,no,normal,0,19.8lb
8173,4,4,9,grayish-green,no,unusually large,0,18.9lb
8174,0,3,6,green,no,normal,0,20.4lb
8175,7,4,12,grayish-green,no,unusually small,0,21.8lb
8176,2,1,9,green,no,normal,0,17.6lb
8177,0,3,6,green,no,normal,0,20.4lb
8178,1,3,9,green,no,normal,0,16.9lb
8179,3,4,9,gray,yes,normal,2,4.7lb
8180,0,5,6,green,no,normal,0,20.4lb
8181,1,1,9,green,no,normal,1,17.2lb
8182,1,5,9,grayish-green,no,normal,1,19.5lb
8183,4,3,12,green,no,unusually large,1,19.8lb
8184,0,2,6,green,no,normal,0,20.4lb
8185,0,5,6,green,no,normal,0,20.4lb
8186,0,1,6,green,no,normal,0,20.4lb
8187,2,5,12,grayish-green,no,normal,0,22.0lb
8188,2,3,11,green,no,normal,3,21.8lb
8189,3,1,9,green,no,normal,2,18.9lb
8190,2,2,8,green,no,normal,0,17.0lb
8191,0,5,6,green,no,normal,0,20.4lb
8192,4,5,10,grayish-green,no,unusually large,0,20.4lb
8193,1,4,10,gray,yes,normal,6,4.4lb
8194,1,6,10,green,no,unusually small,5,18.1lb
8195,4,1,10,green,no,unusually large,0,16.6lb
8196,0,1,6,green,no,normal,0,20.4lb
8197,2,5,12,green,no,unusually large,0,18.7lb
8198,6,1,13,green,no,normal,0,20.0lb
8199,6,2,10,grayish-green,no,unusually large,2,23.5lb
8200,2,1,11,green,no,normal,1,17.0lb
8201,1,2,11,green,no,normal,5,23.8lb
8202,3,2,10,gray,yes,normal,1,4.7lb
8203,0,2,6,green,no,normal,0,20.4lb
8204,2,3,9,gray,yes,normal,3,4.4lb
8205,0,5,6,green,no,normal,0,20.4lb
8206,1,3,8,green,no,unusually small,0,15.9lb
8207,2,3,10,green,no,normal,0,15.3lb
8208,4,2,9,green,no,normal,3,23.4lb
8209,3,5,13,green,no,normal,3,23.7lb
8210,0,3,6,green,no,normal,0,20.4lb
8211,4,1,10,green,no,normal,3,23.5lb
8212,0,3,8,gray,yes,normal,3,4.1lb
8213,0,6,6,green,no,normal,0,20.4lb
8214,6,5,12,grayish-green,no,normal,1,23.8lb
8215,2,5,14,green,no,normal,2,17.9lb
8216,2,3,12,green,no,normal,2,19.7lb
8217,4,7,9,green,no,normal,1,20.5lb
8218,0,5,6,green,no,normal,0,20.4lb
8219,6,2,10,grayish-green,no,normal,4,27.7lb
8220,4,3,10,green,no,normal,0,18.1lb
8221,0,5,6,green,no,normal,0,20.4lb
8222,5,2,11,green,no,normal,2,23.5lb
8223,3,1,11,grayish-green,no,normal,0,23.4lb
8224,1,3,8,green,no,normal,1,20.6lb
8225,4,3,9,green,no,normal,0,17.9lb
8226,10,5,11,greenish-gray,no,normal,0,25.0lb
8227,4,4,10,grayish-green,no,unusually small,0,25.9lb
8228,0,6,6,green,no,normal,0,20.4lb
8229,5,3,11,green,no,normal,3,22.8lb
8230,3,0,10,gray,yes,normal,0,5.3lb
8231,3,3,9,grayish-green,no,normal,0,17.8lb
8232,1,4,8,green,no,unusually large,3,22.5lb
8233,2,0,12,green,no,normal,3,18.7lb
8234,3,1,10,green,no,normal,2,22.8lb
8235,3,0,9,green,no,normal,5,26.7lb
8236,3,4,9,green,no,normal,0,15.3lb
8237,5,1,9,green,no,normal,0,17.5lb
8238,1,3,9,gray,yes,normal,1,4.6lb
8239,1,1,11,green,no,normal,1,19.8lb
8240,0,6,6,green,no,normal,0,20.4lb
8241,0,2,6,green,no,normal,0,20.4lb
8242,3,3,11,green,no,normal,1,19.6lb
8243,0,3,6,green,no,normal,0,20.4lb
8244,4,1,8,grayish-green,no,normal,1,21.2lb
8245,1,3,11,green,no,normal,1,16.9lb
8246,1,4,15,green,no,unusually large,0,22.3lb
8247,7,0,10,grayish-green,no,unusually small,0,18.6lb
8248,5,2,8,green,no,normal,0,18.4lb
8249,5,4,16,gray,yes,normal,0,7.8lb
8250,2,7,12,green,no,unusually large,1,23.7lb
8251,0,1,6,green,no,normal,0,20.4lb
8252,4,3,8,grayish-green,no,unusually large,1,23.6lb
8253,0,1,6,green,no,normal,0,20.4lb
8254,6,4,10,green,no,unusually small,7,24.0lb
8255,2,2,11,green,no,normal,0,16.5lb
8256,5,5,13,gray,yes,normal,0,5.8lb
8257,3,2,9,grayish-green,no,normal,5,28.1lb
8258,3,2,9,green,no,normal,2,20.1lb
8259,0,3,6,green,no,normal,0,20.4lb
8260,4,2,12,green,no,normal,0,20.7lb
8261,7,2,12,grayish-green,no,normal,5,29.7lb
8262,3,3,9,green,no,unusually small,2,17.1lb
8263,0,4,6,green,no,normal,0,20.4lb
8264,5,0,10,green,no,normal,1,21.1lb
8265,0,2,6,green,no,normal,0,20.4lb
8266,3,3,9,green,no,normal,1,17.6lb
8267,3,0,9,green,no,unusually large,4,18.6lb
8268,4,2,10,grayish-green,no,normal,0,19.1lb
8269,1,1,8,green,no,normal,2,19.0lb
8270,1,2,10,green,no,normal,2,22.6lb
8271,0,4,6,green,no,normal,0,20.4lb
8272,3,1,8,green,no,normal,0,18.9lb
8273,1,3,9,green,no,normal,1,16.8lb
8274,1,2,9,green,no,unusually large,1,14.9lb
8275,3,2,7,gray,yes,normal,2,3.7lb
8276,5,6,9,grayish-green,no,normal,0,20.9lb
8277,0,5,6,green,no,normal,0,20.4lb
8278,8,1,10,grayish-green,no,normal,3,26.7lb
8279,8,5,14,greenish-gray,no,normal,1,28.2lb
8280,6,4,10,gray,yes,normal,4,5.0lb
8281,3,1,10,grayish-green,no,normal,0,18.4lb
8282,3,4,10,gray,yes,normal,0,5.6lb
8283,5,2,11,grayish-green,no,unusually large,0,22.6lb
8284,2,5,10,grayish-green,no,normal,0,18.3lb
8285,2,0,11,green,no,normal,0,18.4lb
8286,6,1,10,gray,yes,normal,0,4.7lb
8287,0,1,6,green,no,normal,0,20.4lb
8288,3,3,13,green,no,normal,0,18.4lb
8289,3,5,12,green,no,unusually large,0,20.7lb
8290,4,1,12,green,no,unusually large,1,20.0lb
8291,4,3,9,gray,yes,normal,1,4.7lb
8292,4,3,7,green,no,normal,4,18.2lb
8293,1,2,9,green,no,normal,1,19.6lb
8294,2,2,8,green,no,normal,0,14.2lb
8295,3,0,7,grayish-green,no,normal,0,16.5lb
8296,5,5,10,grayish-green,no,normal,1,22.9lb
8297,0,6,6,green,no,normal,0,20.4lb
8298,1,1,8,green,no,normal,2,17.2lb
8299,3,3,10,green,no,normal,3,18.6lb
8300,0,3,6,green,no,normal,0,20.4lb
8301,2,0,10,green,no,normal,1,20.0lb
8302,1,1,11,green,no,normal,1,19.0lb
8303,0,6,6,green,no,normal,0,20.4lb
8304,0,4,8,green,no,normal,0,15.9lb
8305,2,5,12,gray,yes,normal,1,5.8lb
8306,5,2,11,grayish-green,no,normal,0,22.1lb
8307,1,3,8,gray,yes,normal,1,4.2lb
8308,2,2,9,green,no,unusually small,3,20.3lb
8309,6,3,8,green,no,normal,0,16.6lb
8310,7,4,14,grayish-green,no,normal,1,23.5lb
8311,0,2,6,green,no,normal,0,20.4lb
8312,0,6,6,green,no,normal,0,20.4lb
8313,5,1,13,green,no,normal,2,20.0lb
8314,2,0,12,grayish-green,no,normal,4,25.3lb
8315,3,2,12,green,no,unusually large,2,18.1lb
8316,1,1,10,grayish-green,no,normal,0,19.4lb
8317,2,2,10,gray,yes,unusually small,1,5.3lb
8318,0,3,6,green,no,normal,0,20.4lb
8319,3,3,9,green,no,normal,0,15.9lb
8320,2,0,11,green,no,normal,3,19.5lb
8321,1,3,9,green,no,normal,1,17.1lb
8322,2,1,10,grayish-green,no,normal,2,24.4lb
8323,0,5,6,green,no,normal,0,20.4lb
8324,5,4,8,grayish-green,no,unusually large,0,21.8lb
8325,3,4,13,green,no,normal,1,18.0lb
